BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	AGE	Ecotype	birth_location
PRJNA616371	SRR11451703	WGS	298	29097707311	SAMN14488483	13630297692	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029451	NextSeq 500	UCM154_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM154	SRP254615	Model organism or animal	male	blood	UCM154	after hatch year	resident continent	Spain
PRJNA616371	SRR11451704	WGS	298	30318668039	SAMN14488482	14114887106	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029450	NextSeq 500	UCM153_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM153	SRP254615	Model organism or animal	male	blood	UCM153	after hatch year	resident continent	Spain
PRJNA616371	SRR11451705	WGS	297	31228546898	SAMN14488481	14524601307	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029449	NextSeq 500	UCM151_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM151	SRP254615	Model organism or animal	male	blood	UCM151	after hatch year	resident continent	Spain
PRJNA616371	SRR11451706	WGS	297	28069483608	SAMN14488454	12866685533	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029448	NextSeq 500	A270591_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	A270591	SRP254615	Model organism or animal	male	blood	A270591	after hatch year	resident island	Azores / Terceira
PRJNA616371	SRR11451707	WGS	298	28488091379	SAMN14488480	13349357242	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029447	NextSeq 500	UCM150_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM150	SRP254615	Model organism or animal	male	blood	UCM150	after hatch year	resident continent	Spain
PRJNA616371	SRR11451708	WGS	297	32066667297	SAMN14488479	14921787171	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029446	NextSeq 500	UCM149_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM149	SRP254615	Model organism or animal	male	blood	UCM149	after hatch year	resident continent	Spain
PRJNA616371	SRR11451709	WGS	295	25438327806	SAMN14488478	11614217901	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029445	NextSeq 500	UCM148_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM148	SRP254615	Model organism or animal	male	blood	UCM148	after hatch year	resident continent	Spain
PRJNA616371	SRR11451710	WGS	296	26256552495	SAMN14488477	12027388970	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029444	NextSeq 500	UCM145_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM145	SRP254615	Model organism or animal	male	blood	UCM145	after hatch year	resident continent	Spain
PRJNA616371	SRR11451711	WGS	297	31348005699	SAMN14488476	14367722480	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029443	NextSeq 500	UCM143_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM143	SRP254615	Model organism or animal	male	blood	UCM143	after hatch year	resident continent	Spain
PRJNA616371	SRR11451712	WGS	296	26016978692	SAMN14488475	12213050716	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029442	NextSeq 500	UCM084_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM084	SRP254615	Model organism or animal	male	blood	UCM084	after hatch year	resident continent	Spain
PRJNA616371	SRR11451713	WGS	297	42679390135	SAMN14488474	20177399473	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029441	NextSeq 500	UCM083_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM083	SRP254615	Model organism or animal	male	blood	UCM083	after hatch year	resident continent	Spain
PRJNA616371	SRR11451714	WGS	297	24159666010	SAMN14488473	11086358816	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029440	NextSeq 500	UCM081_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM081	SRP254615	Model organism or animal	male	blood	UCM081	after hatch year	resident continent	Spain
PRJNA616371	SRR11451715	WGS	296	23535097353	SAMN14488472	10672002752	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029439	NextSeq 500	UCM077_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM077	SRP254615	Model organism or animal	male	blood	UCM077	after hatch year	resident continent	Spain
PRJNA616371	SRR11451716	WGS	296	29314338037	SAMN14488471	13812090701	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029438	NextSeq 500	UCM076_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM076	SRP254615	Model organism or animal	male	blood	UCM076	after hatch year	resident continent	Spain
PRJNA616371	SRR11451717	WGS	297	29641189441	SAMN14488453	13502596634	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029437	NextSeq 500	A270589_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	A270589	SRP254615	Model organism or animal	male	blood	A270589	after hatch year	resident island	Azores / Terceira
PRJNA616371	SRR11451718	WGS	297	28640795171	SAMN14488470	13459188815	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029436	NextSeq 500	UCM075_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM075	SRP254615	Model organism or animal	male	blood	UCM075	after hatch year	resident continent	Spain
PRJNA616371	SRR11451719	WGS	297	24413264906	SAMN14488469	11580938761	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029435	NextSeq 500	UCM071_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM071	SRP254615	Model organism or animal	male	blood	UCM071	after hatch year	resident continent	Spain
PRJNA616371	SRR11451720	WGS	296	21404212073	SAMN14488468	10047654165	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029434	NextSeq 500	UCM067_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM067	SRP254615	Model organism or animal	male	blood	UCM067	after hatch year	resident continent	Spain
PRJNA616371	SRR11451721	WGS	298	31795016770	SAMN14488467	14697463461	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029433	NextSeq 500	UCM066_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM066	SRP254615	Model organism or animal	male	blood	UCM066	after hatch year	resident continent	Spain
PRJNA616371	SRR11451723	WGS	299	27430230657	SAMN14488465	12618442348	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029431	NextSeq 500	CAVE27_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	CAVE27	SRP254615	Model organism or animal	male	blood	CAVE27	after hatch year	resident island	Cape Verde
PRJNA616371	SRR11451724	WGS	299	31090374659	SAMN14488464	14453819052	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029430	NextSeq 500	CAVE22_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	CAVE22	SRP254615	Model organism or animal	male	blood	CAVE22	after hatch year	resident island	Cape Verde
PRJNA616371	SRR11451725	WGS	299	27933866402	SAMN14488463	12992740779	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029429	NextSeq 500	CAVE13_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	CAVE13	SRP254615	Model organism or animal	male	blood	CAVE13	after hatch year	resident island	Cape Verde
PRJNA616371	SRR11451726	WGS	299	29638519734	SAMN14488568	14144266476	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029428	NextSeq 500	4090_library	PAIRED	RANDOM	GENOMIC	Sylvia_abyssinica	ILLUMINA	2020-04-01T00:00:00Z	4090	SRP254615	Model organism or animal	male	blood	4090	after hatch year	Sylvia abyssinica	Kenya
PRJNA616371	SRR11451727	WGS	300	36158610720	SAMN14488567	17090220657	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029427	NextSeq 500	4089_library	PAIRED	RANDOM	GENOMIC	Sylvia_abyssinica	ILLUMINA	2020-04-01T00:00:00Z	4089	SRP254615	Model organism or animal	male	blood	4089	after hatch year	Sylvia abyssinica	Kenya
PRJNA616371	SRR11451728	WGS	300	31068131365	SAMN14488566	14809506682	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029426	NextSeq 500	4088_library	PAIRED	RANDOM	GENOMIC	Sylvia_abyssinica	ILLUMINA	2020-04-01T00:00:00Z	4088	SRP254615	Model organism or animal	male	blood	4088	after hatch year	Sylvia abyssinica	Kenya
PRJNA616371	SRR11451729	WGS	288	29763891741	SAMN14488565	14122293070	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029425	NextSeq 500	GW09_library	PAIRED	RANDOM	GENOMIC	Sylvia_borin	ILLUMINA	2020-04-01T00:00:00Z	GW09	SRP254615	Model organism or animal	male	blood	GW09	after hatch year	Sylvia borin	Spain
PRJNA616371	SRR11451730	WGS	290	29634684413	SAMN14488564	14067613502	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029424	NextSeq 500	GW07_library	PAIRED	RANDOM	GENOMIC	Sylvia_borin	ILLUMINA	2020-04-01T00:00:00Z	GW07	SRP254615	Model organism or animal	male	blood	GW07	after hatch year	Sylvia borin	Spain
PRJNA616371	SRR11451731	WGS	292	35670945550	SAMN14488563	16828357667	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029423	NextSeq 500	GW04_library	PAIRED	RANDOM	GENOMIC	Sylvia_borin	ILLUMINA	2020-04-01T00:00:00Z	GW04	SRP254615	Model organism or animal	male	blood	GW04	after hatch year	Sylvia borin	Spain
PRJNA616371	SRR11451732	WGS	295	37880296610	SAMN14488562	17885054230	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029422	NextSeq 500	GW03_library	PAIRED	RANDOM	GENOMIC	Sylvia_borin	ILLUMINA	2020-04-01T00:00:00Z	GW03	SRP254615	Model organism or animal	male	blood	GW03	after hatch year	Sylvia borin	Spain
PRJNA616371	SRR11451733	WGS	295	37207311640	SAMN14488561	17631837450	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029421	NextSeq 500	GW01_library	PAIRED	RANDOM	GENOMIC	Sylvia_borin	ILLUMINA	2020-04-01T00:00:00Z	GW01	SRP254615	Model organism or animal	male	blood	GW01	after hatch year	Sylvia borin	Spain
PRJNA616371	SRR11451734	WGS	298	25573531980	SAMN14488462	12026128643	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029420	NextSeq 500	CAVE9_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	CAVE9	SRP254615	Model organism or animal	male	blood	CAVE9	after hatch year	resident island	Cape Verde
PRJNA616371	SRR11451735	WGS	297	17829518636	SAMN14488560	8935384952	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029419	NextSeq 500	20116312_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	20116312	SRP254615	Model organism or animal	male	blood	20116312	after hatch year	long dist SE	Sweden
PRJNA616371	SRR11451736	WGS	296	20777353667	SAMN14488559	10421889155	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029418	NextSeq 500	20116265_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	20116265	SRP254615	Model organism or animal	male	blood	20116265	after hatch year	long dist SE	Sweden
PRJNA616371	SRR11451737	WGS	299	20051711112	SAMN14488558	10112403983	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029417	NextSeq 500	20166915_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	20166915	SRP254615	Model organism or animal	male	blood	20166915	after hatch year	long dist SE	Sweden
PRJNA616371	SRR11451738	WGS	299	22159452073	SAMN14488557	11149943339	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029416	NextSeq 500	20166913_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	20166913	SRP254615	Model organism or animal	male	blood	20166913	after hatch year	long dist SE	Sweden
PRJNA616371	SRR11451739	WGS	298	22452761837	SAMN14488556	11311753842	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029415	NextSeq 500	20166912_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	20166912	SRP254615	Model organism or animal	male	blood	20166912	after hatch year	long dist SE	Sweden
PRJNA616371	SRR11451740	WGS	297	14967188395	SAMN14488555	7052143141	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029414	NextSeq 500	UCM046_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM046	SRP254615	Model organism or animal	male	blood	UCM046	after hatch year	long dist SE	Sweden
PRJNA616371	SRR11451741	WGS	297	26437640447	SAMN14488554	12502511316	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029413	NextSeq 500	UCM049_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM049	SRP254615	Model organism or animal	male	blood	UCM049	after hatch year	long dist SE	Sweden
PRJNA616371	SRR11451742	WGS	298	26869761101	SAMN14488553	12626529515	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029412	NextSeq 500	UCM048_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM048	SRP254615	Model organism or animal	male	blood	UCM048	after hatch year	long dist SE	Sweden
PRJNA616371	SRR11451743	WGS	294	19820805445	SAMN14488552	9705811445	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029411	NextSeq 500	TO12756_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	TO12756	SRP254615	Model organism or animal	male	blood	TO12756	after hatch year	med dist SE	Austria
PRJNA616371	SRR11451744	WGS	294	18340982338	SAMN14488550	8996758943	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029410	NextSeq 500	TO12755_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	TO12755	SRP254615	Model organism or animal	male	blood	TO12755	after hatch year	med dist SE	Austria
PRJNA616371	SRR11451745	WGS	297	24901152289	SAMN14488549	11739894462	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029409	NextSeq 500	UCM009_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM009	SRP254615	Model organism or animal	male	blood	UCM009	after hatch year	med dist SE	Austria
PRJNA616371	SRR11451746	WGS	298	32005869021	SAMN14488548	15163662125	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029408	NextSeq 500	UCM003_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM003	SRP254615	Model organism or animal	male	blood	UCM003	after hatch year	med dist SE	Austria
PRJNA616371	SRR11451747	WGS	299	25349013399	SAMN14488547	11384199893	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029407	NextSeq 500	UCM010_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM010	SRP254615	Model organism or animal	male	blood	UCM010	after hatch year	med dist SE	Austria
PRJNA616371	SRR11451748	WGS	296	32662345345	SAMN14488546	15318073476	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029406	NextSeq 500	UCM008_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM008	SRP254615	Model organism or animal	male	blood	UCM008	after hatch year	med dist SE	Austria
PRJNA616371	SRR11451749	WGS	297	20779075883	SAMN14488545	9915614542	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029405	NextSeq 500	UCM007_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM007	SRP254615	Model organism or animal	male	blood	UCM007	after hatch year	med dist SE	Austria
PRJNA616371	SRR11451751	WGS	299	24174365236	SAMN14488543	11521607844	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029403	NextSeq 500	UCM001_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM001	SRP254615	Model organism or animal	male	blood	UCM001	after hatch year	med dist SE	Austria
PRJNA616371	SRR11451752	WGS	299	31340178779	SAMN14488542	14915168078	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029402	NextSeq 500	9350_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9350	SRP254615	Model organism or animal	male	blood	9350	after hatch year	med dist SE	Poland
PRJNA616371	SRR11451753	WGS	294	19921950349	SAMN14488551	9755602539	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029401	NextSeq 500	TO12753_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	TO12753	SRP254615	Model organism or animal	male	blood	TO12753	after hatch year	med dist SE	Austria
PRJNA616371	SRR11451754	WGS	299	23504310111	SAMN14488461	10545490703	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029400	NextSeq 500	CAVE7_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	CAVE7	SRP254615	Model organism or animal	male	blood	CAVE7	after hatch year	resident island	Cape Verde
PRJNA616371	SRR11451755	WGS	297	30710313211	SAMN14488452	14059088751	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029399	NextSeq 500	A270584_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	A270584	SRP254615	Model organism or animal	male	blood	A270584	after hatch year	resident island	Azores / Terceira
PRJNA616371	SRR11451756	WGS	296	29369371052	SAMN14488451	13433574403	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029398	NextSeq 500	A270577_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	A270577	SRP254615	Model organism or animal	male	blood	A270577	after hatch year	resident island	Azores / Terceira
PRJNA616371	SRR11451692	WGS	294	23594244679	SAMN14488493	11275053937	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029462	NextSeq 500	UCM099_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM099	SRP254615	Model organism or animal	male	blood	UCM099	after hatch year	short dist SW	Spain
PRJNA616371	SRR11451640	WGS	297	36120106157	SAMN14488460	16797388489	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029514	NextSeq 500	2N96596_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	2N96596	SRP254615	Model organism or animal	male	blood	2N96596	after hatch year	resident island	Canary Islands / La Palma
PRJNA616371	SRR11451698	WGS	297	27691849515	SAMN14488488	13049444615	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029456	NextSeq 500	1219_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	1219	SRP254615	Model organism or animal	male	blood	1219	after hatch year	resident continent	Morocco
PRJNA616371	SRR11451750	WGS	297	20251999093	SAMN14488544	9138004378	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029404	NextSeq 500	UCM005_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM005	SRP254615	Model organism or animal	male	blood	UCM005	after hatch year	med dist SE	Austria
PRJNA616371	SRR11451722	WGS	296	22726348095	SAMN14488466	10915771825	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	ncbi,gs,s3	ncbi.public,s3.us-east-1,gs.US	SRX8029432	NextSeq 500	UCM064_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM064	SRP254615	Model organism or animal	male	blood	UCM064	after hatch year	resident continent	Spain
PRJNA616371	SRR11451661	WGS	299	30056985974	SAMN14488521	14014668916	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	sra,fastq	ncbi,gs,s3	ncbi.public,gs.US,s3.us-east-1	SRX8029493	NextSeq 500	9244_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9244	SRP254615	Model organism or animal	male	blood	9244	after hatch year	med dist SW	Germany
