BioSample,refGenome,Organism,,BioSample,refGenome,Run,Organism,BioProject,LibraryName,,,,
SAMEA2338562,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407277,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS38b,,,,
SAMEA2338562,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407278,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS38b,,,,
SAMEA2338562,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407515,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS38b,,,,
SAMEA2338563,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407289,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS43,,,,
SAMEA2338563,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407290,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS43,,,,
SAMEA2338563,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407413,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS43,,,,
SAMEA2338563,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407415,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS43,,,,
SAMEA2338563,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407416,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS43,,,,
SAMEA2338563,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407417,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS43,,,,
SAMEA2338563,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407418,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS43,,,,
SAMEA2338563,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407524,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS43,,,,
SAMEA2338563,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407291,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS43,,,,
SAMEA2338563,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407414,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS43,,,,
SAMEA2338564,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407314,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS53,,,,
SAMEA2338564,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407440,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS53,,,,
SAMEA2338564,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407441,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS53,,,,
SAMEA2338564,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407442,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS53,,,,
SAMEA2338564,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407443,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS53,,,,
SAMEA2338564,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407536,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS53,,,,
SAMEA2338564,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407537,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS53,,,,
SAMEA2338564,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407313,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS53,,,,
SAMEA2338565,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407075,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS16,,,,
SAMEA2338565,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407076,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS16,,,,
SAMEA2338565,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407077,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS16,,,,
SAMEA2338565,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407078,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS16,,,,
SAMEA2338565,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407079,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS16,,,,
SAMEA2338565,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407080,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS16,,,,
SAMEA2338565,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407081,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS16,,,,
SAMEA2338565,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407488,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS16,,,,
SAMEA2338566,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407262,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS33,,,,
SAMEA2338566,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407263,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS33,,,,
SAMEA2338566,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407264,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS33,,,,
SAMEA2338566,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407265,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS33,,,,
SAMEA2338566,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407363,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS33,,,,
SAMEA2338566,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407364,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS33,,,,
SAMEA2338566,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407365,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS33,,,,
SAMEA2338566,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407367,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS33,,,,
SAMEA2338566,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407366,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS33,,,,
SAMEA2338566,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407509,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS33,,,,
SAMEA2338567,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407143,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS24,,,,
SAMEA2338567,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407144,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS24,,,,
SAMEA2338567,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407145,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS24,,,,
SAMEA2338567,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407146,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS24,,,,
SAMEA2338567,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407147,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS24,,,,
SAMEA2338567,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407149,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS24,,,,
SAMEA2338567,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407498,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS24,,,,
SAMEA2338567,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407148,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS24,,,,
SAMEA2338567,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407150,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS24,,,,
SAMEA2338568,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407346,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS64b,,,,
SAMEA2338568,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407472,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS64b,,,,
SAMEA2338568,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407473,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS64b,,,,
SAMEA2338568,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407474,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS64b,,,,
SAMEA2338568,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407475,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS64b,,,,
SAMEA2338568,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407345,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS64b,,,,
SAMEA2338568,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407555,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS64b,,,,
SAMEA2338569,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407025,Gasterosteus_aculeatus,PRJEB5198,NG-5241_4kb.BS3,,,,
SAMEA2338569,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407198,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS3,,,,
SAMEA2338569,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407200,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS3,,,,
SAMEA2338569,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407201,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS3,,,,
SAMEA2338569,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407203,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS3,,,,
SAMEA2338569,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407517,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS3,,,,
SAMEA2338569,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407518,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS3,,,,
SAMEA2338569,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407202,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS3,,,,
SAMEA2338569,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407199,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS3,,,,
SAMEA2338570,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407258,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS31b,,,,
SAMEA2338570,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407260,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS31b,,,,
SAMEA2338570,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407351,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS31b,,,,
SAMEA2338570,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407352,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS31b,,,,
SAMEA2338570,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407354,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS31b,,,,
SAMEA2338570,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407507,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS31b,,,,
SAMEA2338570,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407353,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS31b,,,,
SAMEA2338570,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407355,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS31b,,,,
SAMEA2338570,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407259,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS31b,,,,
SAMEA2338571,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407302,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS48,,,,
SAMEA2338571,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407303,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS48,,,,
SAMEA2338571,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407427,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS48,,,,
SAMEA2338571,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407428,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS48,,,,
SAMEA2338571,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407429,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS48,,,,
SAMEA2338571,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407529,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS48,,,,
SAMEA2338571,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407426,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS48,,,,
SAMEA2338572,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407324,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS58b,,,,
SAMEA2338572,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407325,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS58b,,,,
SAMEA2338572,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407460,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS58b,,,,
SAMEA2338572,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407542,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS58b,,,,
SAMEA2338573,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407304,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS49,,,,
SAMEA2338573,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407305,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS49,,,,
SAMEA2338573,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407430,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS49,,,,
SAMEA2338573,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407432,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS49,,,,
SAMEA2338573,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407433,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS49,,,,
SAMEA2338573,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407434,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS49,,,,
SAMEA2338573,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407530,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS49,,,,
SAMEA2338573,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407431,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS49,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407283,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS41,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407399,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS41,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407400,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS41,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407401,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS41,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407402,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS41,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407404,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS41,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407405,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS41,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407406,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS41,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407407,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS41,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407408,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS41,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407522,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS41,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407403,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS41,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407521,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS41,,,,
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407284,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS41,,,,
SAMEA2338575,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407060,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS14,,,,
SAMEA2338575,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407062,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS14,,,,
SAMEA2338575,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407063,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS14,,,,
SAMEA2338575,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407064,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS14,,,,
SAMEA2338575,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407065,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS14,,,,
SAMEA2338575,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407066,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS14,,,,
SAMEA2338575,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407486,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS14,,,,
SAMEA2338575,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407061,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS14,,,,
SAMEA2338576,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407322,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS57,,,,
SAMEA2338576,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407455,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS57,,,,
SAMEA2338576,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407456,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS57,,,,
SAMEA2338576,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407457,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS57,,,,
SAMEA2338576,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407458,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS57,,,,
SAMEA2338576,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407459,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS57,,,,
SAMEA2338576,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407541,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS57,,,,
SAMEA2338576,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407323,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS57,,,,
SAMEA2338577,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407279,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS39,,,,
SAMEA2338577,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407280,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS39,,,,
SAMEA2338577,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407387,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS39,,,,
SAMEA2338577,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407388,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS39,,,,
SAMEA2338577,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407389,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS39,,,,
SAMEA2338577,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407390,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS39,,,,
SAMEA2338577,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407516,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS39,,,,
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407272,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS36b,,,,
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407273,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS36b,,,,
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407274,Gasterosteus_aculeatus,PRJEB5198,NG-5353_4kb.BS36b,,,,
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407377,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS36b,,,,
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407378,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS36b,,,,
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407379,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS36b,,,,
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407380,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS36b,,,,
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407382,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS36b,,,,
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407384,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS36b,,,,
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407512,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS36b,,,,
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407513,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS36b,,,,
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407381,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS36b,,,,
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407383,Gasterosteus_aculeatus,PRJEB5198,NG-5353_STD.BS36b,,,,
SAMEA2338579,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407244,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS8,,,,
SAMEA2338579,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407245,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS8,,,,
SAMEA2338579,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407246,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS8,,,,
SAMEA2338579,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407247,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS8,,,,
SAMEA2338579,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407248,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS8,,,,
SAMEA2338579,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407249,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS8,,,,
SAMEA2338579,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407560,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS8,,,,
SAMEA2338580,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407053,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS13,,,,
SAMEA2338580,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407054,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS13,,,,
SAMEA2338580,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407055,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS13,,,,
SAMEA2338580,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407056,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS13,,,,
SAMEA2338580,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407057,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS13,,,,
SAMEA2338580,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407058,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS13,,,,
SAMEA2338580,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407485,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS13,,,,
SAMEA2338580,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407059,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS13,,,,
SAMEA2338580,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407005,Gasterosteus_aculeatus,PRJEB5198,NG-5241_4kb.BS13,,,,
SAMEA2338581,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407016,Gasterosteus_aculeatus,PRJEB5198,NG-5241_4kb.BS23,,,,
SAMEA2338581,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407136,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS23,,,,
SAMEA2338581,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407137,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS23,,,,
SAMEA2338581,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407140,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS23,,,,
SAMEA2338581,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407141,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS23,,,,
SAMEA2338581,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407142,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS23,,,,
SAMEA2338581,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407497,Gasterosteus_aculeatus,PRJEB5198,NG-6005_STD.BS23,,,,
SAMEA2338581,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407139,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS23,,,,
SAMEA2338581,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407138,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS23,,,,
SAMEA2338582,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407003,Gasterosteus_aculeatus,PRJEB5198,NG-5241_4kb.BS11,,,,
SAMEA2338582,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407042,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS11,,,,
SAMEA2338582,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407043,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS11,,,,
SAMEA2338582,GCA_000180675.1,Gasterosteus_aculeatus,,,,ERR407044,Gasterosteus_aculeatus,PRJEB5198,NG-5241_STD.BS11,,,,
